text,answer,bullyingword
 what 039 s your favorite song i like too many songs to have a favorite,no,n a
 3 3 haha jk 33,no,n a
 quot hey angel you duh sexy quot really thanks haha,no,n a
 ,no,n a
 meowww rawr ,no,n a
 any makeup tips i suck at doing my makeup lol sure like tell me wht u wnna know like wht do you use ,no,n a
 apriiiiiiiiiiiill i miss uuuu it 039 s emma btw haha emma hahahahah i missssseddd yuhhhhh 222222 33333,no,n a
 are you a morning or night person night 4shuree ,no,n a
 are you a trusting person alreadi answrd,no,n a
 are you a trusting person yes veryy trustin person may i help yuh ,no,n a
 are you and truace best friends ahaha yess of course aint dat rite truace haha he so awesome tho bck off lol jk,no,n a
 are you more of a talker or more of a listener listener definitely chuz i get cut off alot so i just listen or ignore pplz ,no,n a
 are yuh single and ready 2 mingle hahaha yup bhut not lookin 4 a man rite atm chuz dey 2much drama ,no,n a
 ask me something ,no,n a
 bahahahaha took you longer enough p gees girl hahah no its totally okay i just wanted to play guess who i am hahaha i fuckinggg love you too 3 hahahahhaahhaha ikrr im a slow american wht more can i say lmfaoo hahaha 333 aww hahaha,no,none
 bahahahaha took you longer enough p gees girl hahah no its totally okay i just wanted to play guess who i am hahaha i fuckinggg love you too 3 hahahahhaahhaha ikrr im a slow american wht more can i say lmfaoo hahaha 333 aww hahaha,no,n a
 bahahahahhaha p lmaoo ,no,n a
 bitch u thee bomb like tick tick hahah thanks ,no,n a
 bitch u thee bomb like tick tick hahah thanks ,yes,bitch u thee bomb like tick tick
 can you please sing a cover of any justin bieber song hahaha i dont sing lol so srry im horrible btw i dedicate quot smile quot 2 yuh its playing ,no,n a
 cats or dogs dogs im allergic 2 cats ,no,n a
 chocolate or vanilla chocolate bahah ,no,n a
 definitely true i 039 ve been learnin it for 5 years cuz i 039 ve frensh origins haha ahhh wow 5yrs man its a gorgeous language i love it this is my first year learnin it haha newbie ,no,n a
 did u watch bieber on oprah well sortaa i just got 2 wtch thee charice part shes awesome 3 hbu ,no,n a
 do you believe in life after death yes of course i do its called eternity with god in heaven 3,no,n a
 do you believe in luck yes bhut i think luck is blessing from god actually in my opinion ,no,n a
 do you believe there 039 s intelligent life on other planets if god created them then hellz yes ,no,n a
 do you consider yourself a good dancer hahaha bitch i bring it lmao kinda i think lmao i hve some black in me so yes haha,no,n a
 do you have a bf nope bhut not having a bf doesnt mean the world ends i guess im waiting 4 the 1 ya kno hbu mamas ,no,n a
 do you have any favorite youtube star i have 2 actually justin bieber ofcourse amp amp scipio mondai ,no,n a
 do you have any memories you 039 d like to forget actually i do just my whole experience with this fake a friend 3,no,fake a friend 3
 do you have any memories you 039 d like to forget actually i do just my whole experience with this fake a friend 3,no,n a
 do you have any memories you 039 d like to forget actually i do just my whole experience with this fake a friend 3,no,fake a friend
 do you have any piercings yuppers nose and cartilage piercings ,no,n a
 do you have any scars on your body if so how 039 d you get them hahaha strange s,no,n a
 do you like atlanta ga yes i love atl great place 2 live wish i lived there d,no,n a
 do you think that a size 10 is fat i 039 m trying to be a size 5 by the end of the year omg no way 10 is actually small don t change thee way you look 4 anyone bhut yourslf kay ,no,n a
 do you think you 039 re a good friend fuck yes i think i am haha,no,n a
 do you watch american idol if so who are you voting for this season awww man you just reminded me i wtch it sometimes bhut i love big mike pplz are really wrong bout letting katie go argh ,no,n a
 do yuh have any stalkers hell yes lots of them and thats including yuh 3,no,n a
 don 039 t listen to the haters you are pretty thank you gurl boy i really appreciate it 33,no,n a
 favorite store atm rue 21 d or forever21 3,no,n a
 fuck justin bieber he 039 s a fucking fag um excuse yuh he is not ur a fuckin idiot kay good,yes,ur a fuckin idiot 
 fuck justin bieber he 039 s a fucking fag um excuse yuh he is not ur a fuckin idiot kay good,yes,ur a fuckin idiot
 growl meowl d if thts a word haha 3,no,n a
 guesss who idk hoe get cha own cup of blackberry with a hint of lemon ice tea dayumm hahah jk brooke ,no,n a
 haa you guessedd righhttttr its maryyyy ahhh ilovee this picture mayb becuase youhr in it babe 3 off courrseeee dudee hahahahaha awhhh lol i think i love it 2 chuz im in it lol jk i love yuh ,no,n a
 haaa its all qud sorry abouht the quot hoe quot thinq iwas mad lol lmfao haha nahh its my badd ,no,n a
 haha so have u ever been to france pfftt nahhh i hve never been outta this country argh hve yuh haha,no,n a
 haha check inside ur closet u mind find out who it is lmao kk lemme get my ass off this toliet seat then ill check mwahah jk,no,n a
 haha nope im not taquisha either i talk to you alot on twitter 3 omg tell me ughh grrr rawrr bianca lmao idkk tell me ,no,none
 haha nope im not taquisha either i talk to you alot on twitter 3 omg tell me ughh grrr rawrr bianca lmao idkk tell me ,no,n a
 hahah guess who 3 mary lol hahahaha,no,n a
 hahah okey dokey sweet thang mwahaha sweet thang i love it ,no,n a
 hahah funny how u defend that beiber kid amp its also funny how u stalked my whole twitter nice goin bitch ,no,n a
 hahah funny how u defend that beiber kid amp its also funny how u stalked my whole twitter nice goin bitch ,yes,bitch
 hahaha nope uhhhhh omg taquisha lol ,no,n a
 have u ever licked thee floor hahaha yup its my job,no,n a
 have u ever licked thee floor hahaha yup its my job,yes,ever licked thee floor
 have u seen justin bieber in person nope i wish bhut hey i might someday rite haha hbu ,no,n a
 have you broken any bones if so how haha nahh ive just fractured some thumbs bhut itz all good lol,no,n a
 have you ever been on itellyouthat com go there and tell something to the world hahah ohkay ,no,n a
 have you ever had your heart broken yup yup p,no,n a
 hehe yup it 039 s awesome but the pronunciation is incredibly haaard haha it is haha lol man i hvnt even gotten 2 dat part yet fml hah,no,n a
 hello bitch how 039 s ur day going good i hope it 039 s beautiful and sunny ohh heyy bitchh its goin good thx 4 askin,yes,hello bitch 
 hello bitch how 039 s ur day going good i hope it 039 s beautiful and sunny ohh heyy bitchh its goin good thx 4 askin,no,n a
 hello my friend is also named april nicee ,no,n a
 hello my friend is also named april nicee ,no,none
 hello hey hows yah momma ,no,n a
 hellz yeahh of course i 039 m qoinqq i wannah b with you quy 039 s like duhh 3 ahahaha it wuzz funn lmao 3,no,n a
 hey my name is april too haha people named april are always cool lol hahaha ohh cool wait are yuh thee april on twitter april2 haha yay we beasts yo haa,no,n a
 hey you 039 re an amazing nice and sweet girl pretty too awwhhh thank yuh jacob ur really nice might be my new bestie 33 thank yuh so much ,no,n a
 hey why you such a bitch why thank yuh ,yes, why you such a bitch 
 hey why you such a bitch why thank yuh ,yes, bitch 
 hey why you such a bitch why thank yuh ,yes,why you such a bitch 
 heyyy abrilll iloveyhuuu 3 muchooo heyy marribbbiii lmao iloveyuhhh muchooo moeee are yuh goin tmrw ,no,n a
 heyyyyyy how u doin im doing good thankyuh heyyy hbu ,no,n a
 heyyyyyyyy wats up heyy ghurrr wuzz upp haha nuttin much just busyy hbu ma ,no,n a
 hi april heyy ,no,n a
 how many languages do u speak umm i think 2 bhut english is my first im learnin french d hbu ,no,n a
 how many languages do u speak umm i think 2 bhut english is my first im learnin french d hbu ,no,none
 how old are u and how do you know michael who the hell are yuh and who tha fuck is michael ,yes,who the hell are yuh and who tha fuck is michael 
 how old are u and how do you know michael who the hell are yuh and who tha fuck is michael ,no,none
 how would you describe your personality hmmm personal root word lol umm probss bubbly nice honest sumtyms ,no,n a
 how would you describe yourself in 3 words myself bubbly funny ,no,n a
 how would you describe yourself in 3 words myself bubbly funny ,no,none
 i love your hair iloveyou thanks alot bhut its alot 2 keep up wit wanna trade haha ,no,n a
 i love youu chica 33 no no no i love youuu moreee 333 d haha ,no,n a
 i love youuuuuuu ifuckinloveyou 33 xox ha ,no,n a
 i speak english frensh and a little arabic cuz i 039 ve been to egypt a lotta times omg really cool thats so awesome yeah i wanna learn more languages bhut french is already enuff 2 deal wit ha,no,n a
 i think ur not pretty sorry oh thats wht i think too dnt be sorry hahaha silly goose,no,n a
 i 039 m bored can you tell me something funny lool hahah ohhkayy lol wht do you call a deer with no eyes i have no ideer haha classic umm i suck at this haha,no,n a
 if u live forever wat do u live for idkkk god not understndin this srry its like 3am hah,no,n a
 if you could ask barack obama one question what would it be oh snap i would actually hug him first off ahah and say quot nigga where my weed go quot hahaha jkjkjk i love him he is doin a great job ,no,n a
 if you could ask george w bush one question what would it be are you a lonely boy ,no,n a
 if you could be a star athlete in any sport which sport would you pick basketball 3,no,n a
 if you could be invited to one person 039 s birthday party whose would it be justin bieber s bday parrtayy haha,no,n a
 if you could be on one tv show which one would it be keeping up with the kardashians or kendra my fav shows atm ,no,n a
 if you could become any fictional character who would you be errmm harry potter lol,no,n a
 if you could change your name what would you change it to thats a hard 1 thinkin maybe bustin jieber i think haha,no,n a
 if you could date any celebrity who would it be justin bieber or channing tatum haha yumm ,no,n a
 if you could eat dinner with any person dead or alive who would it be and where would you go michael jacko and subway doh ,no,n a
 if you could eliminate one thing you do each day in the bathroom so you never had to do it again what would it be put my towels back on the fckn rack lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor ,no,n a
 if you could go back in time 10 years and tell your younger self something what would it be life is never going to be easy ,no,n a
 if you could go on a road trip with any person dead or alive who would it be and where would you go justin bieber duh amp amp russia ,no,n a
 if you could go on vacation for the next month with an unlimited budget where would you go i would so travel thee world visit my overseas besties then shop everywhere 3,no,n a
 if you could have an endless supply of any food what would you get strawberry banana smoothies from jack in the box d yah dig ,no,none
 if you could have an endless supply of any food what would you get strawberry banana smoothies from jack in the box d yah dig ,no,n a
 if you could have been the author of any book what would it have been all thee twilight books chuz she got some good mula baby ,no,n a
 if you could make one person fall in love with you who would it be my orthodontist docotr hahahaha jkjk or am i lmao ,no,n a
 if you could master one skill what would it be to never sin bhut will never happen see im already sinning never say never ,no,n a
 if you could only listen to one song for the next month which would it be up justin bieber,no,n a
 if you could only read one magazine for the rest of your life which would it be mmmag i love it ,no,n a
 if you could rid the world of one thing what would it be hoe ishness lol um prob stupid bitches and sin i just sinned opppzz,no,n a
 if you could wake up as anyone tomorrow who would it be myself ,no,n a
 if you had to cook dinner for someone tonight what would you make umm we would go to jack in the box haha,no,n a
 if you had to give up one favorite food what would the most difficult chocolate ,no,n a
 if you had to perform at the circus what trick would you do read between these three fingas haha,no,n a
 if you had to perform at the circus what trick would you do read between these three fingas haha,yes,between these three fingas
 if you had your own talk show who would your first three guests be justin bieber demi lovato and barack obama babay ,no,n a
 if you won a 1 000 shopping spree for any store which store would you pick apple store need a mac pro ,no,n a
 if you won a million dollars what would you do with it great question tithe help people shop ,no,n a
 if you won a million dollars what would you do with it great question tithe help people shop ,no,none
 if your house was on fire and you could only grab three things what would they be laptop dogs family shoes bed clothes coffee maker oven washer amp dryer refridgerator table amp chairs pics camera bath tub hahahahahahhaha ,no,n a
 ilove your nose ring awhh i love ur earrings ,no,n a
 ilovee youuu bestfranhdd haa guesss whooo ilovee maryyy rosseeee hickkksss lol ,no,n a
 ilovee youuu bestfranhdd haa guesss whooo ilovee maryyy rosseeee hickkksss lol ,yes,ilovee maryyy rosseeee hickkksss
 ily ily2 boo ,no,n a
 im good juz got bak from the srip in vegas it was awesome i luved it hav u evah been to vegas awhh yuh so lucky ghurr i bet yuh had a blast amp nahh ive never been bhut i would soo want to go d,no,n a
